T,T1,regime,group,thscode,name,industry,score,factors,reason,catalyst,tech,watch,watch_range,risk,priority
2026-01-05,2026-01-06,aggressive,lu,002925.SZ,盈趣科技,消费电子,93.25,"{'theme': 1.0, 'ladder': 0.55, 'seal': 1.0, 'time': 1.0, 'liq': 1.0, 'struct': 1.0}",涨停组: 脑机接口方向 1板 封单比25.4% 涨停时间09:30 题材内涨停29家 成交4.3亿,脑机接口+机器人+智能制造+摩尔线程,1连板 换手承接量比1.81,"次日竞价与开盘承接: 高开幅度观察区间[-2%,+5%]; 开盘涨幅≤+3%且不破昨收-3%视为买点触发",昨收18.63,高位情绪兑现/次日低开大幅回撤/炸板断板,1
2026-01-05,2026-01-06,aggressive,lu,300753.SZ,爱朋医疗,医疗器械,93.25,"{'theme': 1.0, 'ladder': 0.55, 'seal': 1.0, 'time': 1.0, 'liq': 1.0, 'struct': 1.0}",涨停组: 脑机接口方向 1板 封单比19.8% 涨停时间09:44 题材内涨停29家 成交6.2亿,脑机接口+ADHD系统+疼痛管理,1连板 换手承接量比2.11,"次日竞价与开盘承接: 高开幅度观察区间[-2%,+5%]; 开盘涨幅≤+3%且不破昨收-3%视为买点触发",昨收33.3,高位情绪兑现/次日低开大幅回撤/炸板断板,1
2026-01-05,2026-01-06,aggressive,nlu,000975.SZ,山金国际,贵金属,94.0625,"{'sector': 0.853125, 'trend': 1.0, 'pos': 1.0, 'mom': 1.0, 'liq': 1.0, 'recog': 0.85}","非涨停组: 趋势结构多头(MA20>MA60且上行), 处于活跃板块[贵金属](当日涨幅分位94%, 板块涨停2家) 距60日高点4.7% 20日涨幅12.7%",板块[贵金属]轮动延续/资金承接,收盘24.26 MA20上方 量比1.05,"次日开盘[-2%,+3%]为观察区间; 收盘站上max(开盘,昨收)视为买点触发",昨收24.26,板块退潮补跌/资金承接不足/持续阴跌,1
2026-01-05,2026-01-06,aggressive,nlu,300416.SZ,苏试试验,其他社会服务,93.43125,"{'sector': 0.8215625, 'trend': 1.0, 'pos': 1.0, 'mom': 1.0, 'liq': 1.0, 'recog': 0.85}","非涨停组: 趋势结构多头(MA20>MA60且上行), 处于活跃板块[其他社会服务](当日涨幅分位81%, 板块涨停3家) 距60日高点3.3% 20日涨幅15.7%",板块[其他社会服务]轮动延续/资金承接,收盘18.10 MA20上方 量比1.06,"次日开盘[-2%,+3%]为观察区间; 收盘站上max(开盘,昨收)视为买点触发",昨收18.10,板块退潮补跌/资金承接不足/持续阴跌,1
2026-01-06,2026-01-07,aggressive,lu,600266.SH,城建发展,房地产,100.0,"{'theme': 1.0, 'ladder': 1.0, 'seal': 1.0, 'time': 1.0, 'liq': 1.0, 'struct': 1.0}",涨停组: 商业航天方向 3板 封单比16.3% 涨停时间09:31 题材内涨停12家 成交7.6亿,商业航天+北京国资+房地产,3连板 换手承接量比1.11,"次日竞价与开盘承接: 高开幅度观察区间[-2%,+5%]; 开盘涨幅≤+3%且不破昨收-3%视为买点触发",昨收6.14,高位情绪兑现/次日低开大幅回撤/炸板断板,1
2026-01-06,2026-01-07,aggressive,lu,002925.SZ,盈趣科技,消费电子,98.5,"{'theme': 1.0, 'ladder': 0.9, 'seal': 1.0, 'time': 1.0, 'liq': 1.0, 'struct': 1.0}",涨停组: 脑机接口方向 2板 封单比42.8% 涨停时间09:25 题材内涨停17家 成交4.7亿,脑机接口+机器人+智能制造+摩尔线程,2连板 换手承接量比1.50,"次日竞价与开盘承接: 高开幅度观察区间[-2%,+5%]; 开盘涨幅≤+3%且不破昨收-3%视为买点触发",昨收20.49,高位情绪兑现/次日低开大幅回撤/炸板断板,1
2026-01-06,2026-01-07,aggressive,nlu,600850.SH,电科数字,IT服务,94.45,"{'sector': 0.8725, 'trend': 1.0, 'pos': 1.0, 'mom': 1.0, 'liq': 1.0, 'recog': 0.85}","非涨停组: 趋势结构多头(MA20>MA60且上行), 处于活跃板块[IT服务](当日涨幅分位78%, 板块涨停4家) 距60日高点4.4% 20日涨幅15.6%",板块[IT服务]轮动延续/资金承接,收盘24.55 MA20上方 量比1.02,"次日开盘[-2%,+3%]为观察区间; 收盘站上max(开盘,昨收)视为买点触发",昨收24.55,板块退潮补跌/资金承接不足/持续阴跌,1
2026-01-06,2026-01-07,aggressive,nlu,688709.SH,成都华微,半导体,94.16875,"{'sector': 0.8584375, 'trend': 1.0, 'pos': 1.0, 'mom': 1.0, 'liq': 1.0, 'recog': 0.85}","非涨停组: 趋势结构多头(MA20>MA60且上行), 处于活跃板块[半导体](当日涨幅分位75%, 板块涨停3家) 距60日高点5.9% 20日涨幅28.4%",板块[半导体]轮动延续/资金承接,收盘49.32 MA20上方 量比1.27,"次日开盘[-2%,+3%]为观察区间; 收盘站上max(开盘,昨收)视为买点触发",昨收49.32,板块退潮补跌/资金承接不足/持续阴跌,1
2026-01-07,2026-01-08,defensive,lu,603125.SH,常青科技,化学制品,84.25,"{'theme': 0.8, 'ladder': 0.55, 'seal': 1.0, 'time': 1.0, 'liq': 0.6, 'struct': 1.0}",涨停组: 光刻胶方向 1板 封单比41.5% 涨停时间09:39 题材内涨停5家 成交2.0亿,光刻胶+风电+特种单体,1连板 换手承接量比2.22,"次日竞价与开盘承接: 高开幅度观察区间[-2%,+5%]; 开盘涨幅≤+3%且不破昨收-3%视为买点触发",昨收18.74,高位情绪兑现/次日低开大幅回撤/炸板断板,1
2026-01-07,2026-01-08,defensive,lu,603015.SH,弘讯科技,自动化设备,79.25,"{'theme': 0.6, 'ladder': 0.55, 'seal': 1.0, 'time': 1.0, 'liq': 0.6, 'struct': 1.0}",涨停组: 可控核聚变方向 1板 封单比21.6% 涨停时间09:43 题材内涨停4家 成交2.9亿,可控核聚变+注塑机控制+芯片概念,1连板 换手承接量比1.48,"次日竞价与开盘承接: 高开幅度观察区间[-2%,+5%]; 开盘涨幅≤+3%且不破昨收-3%视为买点触发",昨收14.14,高位情绪兑现/次日低开大幅回撤/炸板断板,1
