T,T1,regime,group,thscode,name,industry,score,factors,reason,catalyst,tech,watch,watch_range,risk,priority
2026-01-05,2026-01-06,aggressive,lu,002925.SZ,盈趣科技,消费电子,93.25,"{'theme': 1.0, 'ladder': 0.55, 'seal': 1.0, 'time': 1.0, 'liq': 1.0, 'struct': 1.0}",涨停组: 脑机接口方向 1板 封单比25.4% 涨停时间09:30 题材内涨停29家 成交4.3亿,脑机接口+机器人+智能制造+摩尔线程,1连板 换手承接量比1.81,"次日竞价与开盘承接: 高开幅度观察区间[-2%,+5%]; 开盘涨幅≤+3%且不破昨收-3%视为买点触发",昨收18.63,高位情绪兑现/次日低开大幅回撤/炸板断板,1
2026-01-05,2026-01-06,aggressive,lu,002555.SZ,三七互娱,游戏,93.25,"{'theme': 1.0, 'ladder': 0.55, 'seal': 1.0, 'time': 1.0, 'liq': 1.0, 'struct': 1.0}",涨停组: 脑机接口方向 1板 封单比17.7% 涨停时间09:36 题材内涨停29家 成交12.1亿,脑机接口+AI游戏+小游戏流水,1连板 换手承接量比0.86,"次日竞价与开盘承接: 高开幅度观察区间[-2%,+5%]; 开盘涨幅≤+3%且不破昨收-3%视为买点触发",昨收25.96,高位情绪兑现/次日低开大幅回撤/炸板断板,1
2026-01-05,2026-01-06,aggressive,nlu,002223.SZ,鱼跃医疗,医疗器械,98.46875,"{'sector': 0.96875, 'trend': 1.0, 'pos': 1.0, 'mom': 1.0, 'liq': 1.0, 'recog': 0.85}","非涨停组: 趋势结构多头(MA20>MA60且上行), 处于活跃板块[医疗器械](当日涨幅分位99%, 板块涨停13家) 距60日高点0.5% 20日涨幅8.0%",板块[医疗器械]轮动延续/资金承接,收盘37.66 MA20上方 量比1.47,"次日开盘[-2%,+3%]为观察区间; 收盘站上max(开盘,昨收)视为买点触发",昨收37.66,板块退潮补跌/资金承接不足/持续阴跌,1
2026-01-05,2026-01-06,aggressive,nlu,600877.SH,电科芯片,半导体,97.828125,"{'sector': 0.943125, 'trend': 1.0, 'pos': 1.0, 'mom': 1.0, 'liq': 1.0, 'recog': 0.85}","非涨停组: 趋势结构多头(MA20>MA60且上行), 处于活跃板块[半导体](当日涨幅分位96%, 板块涨停7家) 距60日高点4.2% 20日涨幅17.0%",板块[半导体]轮动延续/资金承接,收盘17.37 MA20上方 量比0.93,"次日开盘[-2%,+3%]为观察区间; 收盘站上max(开盘,昨收)视为买点触发",昨收17.37,板块退潮补跌/资金承接不足/持续阴跌,1
2026-01-06,2026-01-07,aggressive,lu,600266.SH,城建发展,房地产,100.0,"{'theme': 1.0, 'ladder': 1.0, 'seal': 1.0, 'time': 1.0, 'liq': 1.0, 'struct': 1.0}",涨停组: 商业航天方向 3板 封单比16.3% 涨停时间09:31 题材内涨停12家 成交7.6亿,商业航天+北京国资+房地产,3连板 换手承接量比1.11,"次日竞价与开盘承接: 高开幅度观察区间[-2%,+5%]; 开盘涨幅≤+3%且不破昨收-3%视为买点触发",昨收6.14,高位情绪兑现/次日低开大幅回撤/炸板断板,1
2026-01-06,2026-01-07,aggressive,lu,002925.SZ,盈趣科技,消费电子,98.5,"{'theme': 1.0, 'ladder': 0.9, 'seal': 1.0, 'time': 1.0, 'liq': 1.0, 'struct': 1.0}",涨停组: 脑机接口方向 2板 封单比42.8% 涨停时间09:25 题材内涨停17家 成交4.7亿,脑机接口+机器人+智能制造+摩尔线程,2连板 换手承接量比1.50,"次日竞价与开盘承接: 高开幅度观察区间[-2%,+5%]; 开盘涨幅≤+3%且不破昨收-3%视为买点触发",昨收20.49,高位情绪兑现/次日低开大幅回撤/炸板断板,1
2026-01-06,2026-01-07,aggressive,nlu,000792.SZ,盐湖股份,农化制品,97.234375,"{'sector': 0.889375, 'trend': 1.0, 'pos': 1.0, 'mom': 1.0, 'liq': 1.0, 'recog': 1.0}","非涨停组: 趋势结构多头(MA20>MA60且上行), 处于活跃板块[农化制品](当日涨幅分位88%, 板块涨停3家) 距60日高点1.2% 20日涨幅27.9%",板块[农化制品]轮动延续/资金承接,收盘32.37 MA20上方 量比1.66,"次日开盘[-2%,+3%]为观察区间; 收盘站上max(开盘,昨收)视为买点触发",昨收32.37,板块退潮补跌/资金承接不足/持续阴跌,1
2026-01-06,2026-01-07,aggressive,nlu,000657.SZ,中钨高新,小金属,97.1171875,"{'sector': 0.9646874999999999, 'trend': 1.0, 'pos': 1.0, 'mom': 1.0, 'liq': 1.0, 'recog': 0.6}","非涨停组: 趋势结构多头(MA20>MA60且上行), 处于活跃板块[小金属](当日涨幅分位97%, 板块涨停3家) 距60日高点7.6% 20日涨幅28.1%",板块[小金属]轮动延续/资金承接,收盘29.64 MA20上方 量比1.32,"次日开盘[-2%,+3%]为观察区间; 收盘站上max(开盘,昨收)视为买点触发",昨收29.64,板块退潮补跌/资金承接不足/持续阴跌,1
2026-01-07,2026-01-08,defensive,lu,603125.SH,常青科技,化学制品,84.25,"{'theme': 0.8, 'ladder': 0.55, 'seal': 1.0, 'time': 1.0, 'liq': 0.6, 'struct': 1.0}",涨停组: 光刻胶方向 1板 封单比41.5% 涨停时间09:39 题材内涨停5家 成交2.0亿,光刻胶+风电+特种单体,1连板 换手承接量比2.22,"次日竞价与开盘承接: 高开幅度观察区间[-2%,+5%]; 开盘涨幅≤+3%且不破昨收-3%视为买点触发",昨收18.74,高位情绪兑现/次日低开大幅回撤/炸板断板,1
2026-01-07,2026-01-08,defensive,nlu,002128.SZ,电投能源,煤炭开采加工,98.03125,"{'sector': 0.9512499999999999, 'trend': 1.0, 'pos': 1.0, 'mom': 1.0, 'liq': 1.0, 'recog': 0.85}","非涨停组: 趋势结构多头(MA20>MA60且上行), 处于活跃板块[煤炭开采加工](当日涨幅分位98%, 板块涨停3家) 距60日高点2.0% 20日涨幅6.4%",板块[煤炭开采加工]轮动延续/资金承接,收盘28.52 MA20上方 量比1.05,"次日开盘[-2%,+3%]为观察区间; 收盘站上max(开盘,昨收)视为买点触发",昨收28.52,板块退潮补跌/资金承接不足/持续阴跌,1
2026-01-07,2026-01-08,defensive,nlu,600877.SH,电科芯片,半导体,97.0390625,"{'sector': 0.9615625, 'trend': 1.0, 'pos': 1.0, 'mom': 1.0, 'liq': 1.0, 'recog': 0.6}","非涨停组: 趋势结构多头(MA20>MA60且上行), 处于活跃板块[半导体](当日涨幅分位94%, 板块涨停3家) 距60日高点4.6% 20日涨幅12.0%",板块[半导体]轮动延续/资金承接,收盘17.30 MA20上方 量比0.82,"次日开盘[-2%,+3%]为观察区间; 收盘站上max(开盘,昨收)视为买点触发",昨收17.30,板块退潮补跌/资金承接不足/持续阴跌,1
2026-01-08,2026-01-09,normal,lu,001400.SZ,江顺科技,专用设备,94.0,"{'theme': 1.0, 'ladder': 1.0, 'seal': 0.7, 'time': 1.0, 'liq': 1.0, 'struct': 1.0}",涨停组: 商业航天方向 3板 封单比10.9% 涨停时间09:35 题材内涨停18家 成交3.1亿,商业航天+液冷服务器+铝挤压模具,3连板 换手承接量比0.84,"次日竞价与开盘承接: 高开幅度观察区间[-2%,+5%]; 开盘涨幅≤+3%且不破昨收-3%视为买点触发",昨收103.26,高位情绪兑现/次日低开大幅回撤/炸板断板,1
2026-01-08,2026-01-09,normal,lu,601399.SH,国机重装,专用设备,92.5,"{'theme': 1.0, 'ladder': 0.9, 'seal': 0.7, 'time': 1.0, 'liq': 1.0, 'struct': 1.0}",涨停组: 可控核聚变方向 2板 封单比14.8% 涨停时间09:34 题材内涨停6家 成交15.5亿,可控核聚变+工业母机+央企,2连板 换手承接量比0.85,"次日竞价与开盘承接: 高开幅度观察区间[-2%,+5%]; 开盘涨幅≤+3%且不破昨收-3%视为买点触发",昨收6.06,高位情绪兑现/次日低开大幅回撤/炸板断板,1
